,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,_destination_path,alpha,beta
541,0.155741262494,0.1511717442843,0.693065224922,811.0,Neither,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
542,0.048457896064,0.07252342526700001,0.879000245521,812.0,Both,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
543,0.16202233302699998,0.21821311271899999,0.6197532670260001,813.0,Defector,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
544,0.1297101657305,0.191591693912,0.6786823584759999,814.0,Loner,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
545,0.14942528665,0.17990398083650003,0.670648766521,815.0,Neither,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
546,0.047521689916000004,0.07093519483,0.8815225954849999,816.0,Both,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
547,0.15610829898599998,0.23696249991600002,0.606918401112,817.0,Defector,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
548,0.129875289733,0.20639061265,0.663718055778,818.0,Loner,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
549,0.149519975404,0.18550954380800003,0.6649490595840001,819.0,Neither,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
550,0.04340038003,0.07063163288799999,0.8859442688459999,820.0,Both,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
551,0.051628377944000006,0.07771862363200001,0.870628288228,824.0,Both,200000,3.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
552,0.040854256103999995,0.062852472744,0.8962677178120001,828.0,Both,200000,4.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
553,0.0,0.0,1.0,837.0,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
554,0.0,0.0,1.0,838.0,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
555,0.0,0.0,1.0,839.0,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
556,0.0,0.0,1.0,840.0,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
557,0.003535388337,9.542704e-06,0.9964370509999999,841.0,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
558,0.0006626008880000001,3.5425543e-05,0.999297457,842.0,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
559,0.003388572922999999,9.845825e-06,0.9965824249999999,843.0,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
560,0.000640953806,3.2448292000000004e-05,0.999322354,844.0,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
561,0.149172967342,0.0847453284474,0.766074378679,845.0,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
562,0.08194362742299997,0.057046772692,0.8610031621659998,846.0,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
563,0.11973510852399999,0.090042308025,0.7902068641100001,847.0,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
564,0.042025320285,0.023852473847,0.9341183165920001,848.0,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
565,0.14636008384700003,0.11212485598699998,0.741507641211,849.0,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
566,0.08449058819699999,0.09739569244299999,0.8181076591950002,850.0,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
567,0.11035822190500001,0.104917052309,0.7847109251109999,851.0,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
568,0.03303284278,0.040069097611,0.926895074519,852.0,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
569,0.18193077188300003,0.18391048212300004,0.6341473254689999,853.0,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
570,0.132992212478,0.17574489234100002,0.691248364474,854.0,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
571,0.16255605220649996,0.1581688600124,0.679251888099,855.0,Neither,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
572,0.04837215571500001,0.066523357066,0.8850868525849999,856.0,Both,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
573,0.1605423054273,0.20870396256829998,0.6307431451670001,857.0,Defector,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
574,0.13313929762499999,0.19426248327899998,0.6725818887660002,858.0,Loner,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
575,0.13870294917100004,0.17043773663829997,0.6908374997340001,859.0,Neither,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
576,0.04933370116600001,0.083578585371,0.867066562025,860.0,Both,200000,2.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
577,0.15469728660399998,0.2534215342146667,0.591868922652,861.0,Defector,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
578,0.12915799927300003,0.19360155795899994,0.677224367328,862.0,Loner,200000,3.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
