,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
114,Neither,18,7e-05,0.0,0.00552,0.0,0.2825,0.0,5.44423,0.0,0.0,533.11501,0.0,61.57578,0.0,56.8098,0.0,35.01971,0.0,0.0,,
115,Both,18,544.69109,0.0,5.55501,0.0,62.92998,0.0,1.57507,0.0,0.0,55.55225,0.0,1.05194,0.0,32.04229,0.0,4.01358,0.0,0.0,,
116,Defector,20,5.63465,0.0,0.44309,0.0,0.0,17.70772,0.0,0.38888,0.0,0.0,9.50586,0.0,1.37932,0.0,0.0,14.21709,0.0,12.46731,0.0,0.0
117,Loner,20,108.09392,0.0,7.99278,0.0,0.0,41.8719,0.0,32.25377,0.0,0.0,79.06024,0.0,27.15964,0.0,0.0,31.15692,0.0,27.32349,0.0,0.0
118,Neither,20,6e-05,0.0,0.00732,0.0,0.0,0.33852,0.0,6.55644,0.0,0.0,633.40328,0.0,68.34835,0.0,0.0,62.1777,0.0,34.02439,0.0,0.0
119,Both,20,622.86546,0.0,6.39956,0.0,0.0,72.40554,0.0,1.8181,0.0,0.0,60.27334,0.0,1.01901,0.0,0.0,35.75455,0.0,2.94869,0.0,0.0
120,Defector,2,103.61893,912.25927,,,,,,,,,,,,,,,,,,
121,Loner,2,933.58423,123.18911,,,,,,,,,,,,,,,,,,
122,Neither,2,9.51921,1010.9862,,,,,,,,,,,,,,,,,,
123,Both,2,1044.32793,45.11603,,,,,,,,,,,,,,,,,,
124,Defector,4,6.22795,33.38027,974.1622,78.96619,,,,,,,,,,,,,,,,
125,Loner,4,761.30275,111.8729,128.93309,53.96876,,,,,,,,,,,,,,,,
126,Neither,4,0.00929,10.47831,1012.12737,58.1202,,,,,,,,,,,,,,,,
127,Both,4,871.70463,86.56464,71.90559,30.85832,,,,,,,,,,,,,,,,
128,Defector,6,8.92086,14.67652,15.64229,708.70086,39.40123,13.46535,,,,,,,,,,,,,,
129,Loner,6,665.86692,75.81369,57.36255,163.59709,59.68364,23.1206,,,,,,,,,,,,,,
130,Neither,6,0.00986,0.5163,10.4418,1052.5231,33.18996,5.47544,,,,,,,,,,,,,,
131,Both,6,543.82697,58.86384,1.42428,51.64894,28.28811,4.22748,,,,,,,,,,,,,,
132,Defector,8,9.44037,6.32386,18.74167,15.23178,253.41362,23.19059,46.5918,18.12053,,,,,,,,,,,,
133,Loner,8,600.71904,21.97694,66.90305,58.03723,123.19473,44.04844,70.13844,27.90233,,,,,,,,,,,,
134,Neither,8,4e-05,0.00951,0.44883,8.73526,844.62179,93.44235,83.99096,34.03194,,,,,,,,,,,,
135,Both,8,564.96849,5.77847,69.23475,1.68439,59.72807,1.0542,34.70807,3.64528,,,,,,,,,,,,
136,Defector,10,5.18869,0.3718,15.29726,1.26218,0.0,6.01694,2.11717,14.74297,12.58905,0.0,,,,,,,,,,
137,Loner,10,17.50963,3.37325,14.96861,13.63104,0.0,37.88228,19.96946,29.08946,21.27153,0.0,,,,,,,,,,
138,Neither,10,0.0001,0.00644,0.30409,5.87914,0.0,574.15449,71.0125,67.60712,34.24354,0.0,,,,,,,,,,
139,Both,10,485.88595,4.86916,52.77877,1.34932,0.0,44.80388,1.07968,30.43556,4.84122,0.0,,,,,,,,,,
140,Defector,12,6.50752,0.685,0.0,17.09956,1.44553,0.0,17.62272,2.68268,0.0,15.99064,12.64931,0.0,,,,,,,,
141,Loner,12,0.00366,0.00664,0.0,0.0316,0.94326,0.0,12.61836,26.92086,0.0,20.98321,16.4407,0.0,,,,,,,,
142,Neither,12,3e-05,0.00652,0.0,0.30595,5.90538,0.0,575.72362,66.27685,0.0,59.57188,35.04125,0.0,,,,,,,,
