,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
131,0.9816291600000001,0.0106040356965,0.007739916031500001,/tmpdir/job/1382628.132,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,9,0.1
132,0.9133317711000002,0.05100550949899999,0.035624826773,/tmpdir/job/1382628.133,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
133,0.840724002436,0.028213366096000003,0.13103399900729998,/tmpdir/job/1382628.134,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
134,0.9835249770000001,0.009431630782699998,0.0070176258797,/tmpdir/job/1382628.135,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
135,0.980959286,0.010831053247500002,0.008177664723999998,/tmpdir/job/1382628.136,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
136,0.9811306169999999,0.018695277937999997,0.000129566481,/tmpdir/job/1382628.137,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
137,0.7250864112290001,0.040558069158,0.234331473684,/tmpdir/job/1382628.138,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
138,0.9841094540000002,0.009204510791,0.006658841337,/tmpdir/job/1382628.139,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
139,0.289162908266,0.051113430493,0.659702800316,/tmpdir/job/1382628.140,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,11,0.1
140,0.9100536289000001,0.05093524356199999,0.038973334746,/tmpdir/job/1382628.141,Defector,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
141,0.7147593381940001,0.054257874767599995,0.230957753577,/tmpdir/job/1382628.142,Loner,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
142,0.9831128799999999,0.009753348657000002,0.007107814719600001,/tmpdir/job/1382628.143,Neither,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
143,0.9813153850000002,0.010754129260999999,0.00790293052,/tmpdir/job/1382628.144,Both,200000,1,3,1,4,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
144,0.11567107400000003,0.08595628420000001,0.7983609877,/tmpdir/job/1382628.145,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
145,0.11941374850000001,0.0830430004,0.7975307534999998,/tmpdir/job/1382628.146,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
146,0.11518773390000002,0.08627172150000001,0.7985284483999999,/tmpdir/job/1382628.147,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
147,0.1168758506,0.09503764020000001,0.7880753557,/tmpdir/job/1382628.148,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
148,0.14613042191300002,0.073187568503,0.7806727775580001,/tmpdir/job/1382628.149,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
149,0.088380486602,0.06376598921400001,0.8478466307770003,/tmpdir/job/1382628.150,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
150,0.12343591917900001,0.08957894577000002,0.7869712838694999,/tmpdir/job/1382628.151,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
151,0.038346373936,0.019741629121000002,0.941907911852,/tmpdir/job/1382628.152,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
